ID,day,mappedReads
P10J90,J0,0
P11J90,J0,0
P12J90,J0,0
P13J90,J0,0
P14J90,J0,0
P15J90,J0,2
P17J90,J0,2
P18J90,J0,0
P19J90,J0,0
P1J90,J0,0
P20J90,J0,0
P21J90,J0,0
P22J90,J0,2
P23J90,J0,0
P25J90,J0,0
P2J90,J0,0
P38J90,J0,2
P3J90,J0,0
P4J90,J0,0
P5J90,J0,0
P6J90,J0,0
P7J90,J0,0
P8J90,J0,0
P9J90,J0,0
P10J90,J7,0
P11J90,J7,0
P12J90,J7,0
P13J90,J7,2
P14J90,J7,2
P15J90,J7,0
P17J90,J7,2
P18J90,J7,0
P19J90,J7,0
P1J90,J7,0
P20J90,J7,4
P21J90,J7,2
P22J90,J7,0
P23J90,J7,0
P25J90,J7,2
P2J90,J7,0
P38J90,J7,0
P3J90,J7,0
P4J90,J7,0
P5J90,J7,0
P6J90,J7,0
P7J90,J7,2
P8J90,J7,0
P9J90,J7,0
P10J90,J90,4
P11J90,J90,0
P12J90,J90,0
P13J90,J90,4
P14J90,J90,4
P15J90,J90,4
P17J90,J90,0
P18J90,J90,2
P19J90,J90,0
P1J90,J90,0
P20J90,J90,2
P21J90,J90,4
P22J90,J90,0
P23J90,J90,0
P25J90,J90,2
P2J90,J90,2
P38J90,J90,2
P3J90,J90,0
P4J90,J90,0
P5J90,J90,0
P6J90,J90,2
P7J90,J90,0
P8J90,J90,0
P9J90,J90,0
