Year,Number,0%
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,1,0.934
1957,0,0
1958,1,0.914
1959,0,0
1960,0,0
1961,2,1.665
1962,0,0
1963,3,2.121
1964,2,1.235
1965,2,1.132
1966,3,1.666
1967,2,1.042
1968,2,0.961
1969,2,0.929
1970,2,0.912
1971,3,1.342
1972,1,0.439
1973,0,0
1974,2,0.851
1975,3,1.205
1976,10,3.924
1977,7,2.673
1978,11,4.04
1979,13,4.616
1980,10,3.569
1981,9,3.177
1982,8,2.711
1983,10,3.235
1984,10,3.146
1985,20,5.973
1986,11,3.151
1987,14,3.81
1988,27,6.985
1989,25,6.216
1990,24,5.851
1991,24,5.818
1992,23,5.513
1993,18,4.219
1994,17,3.884
1995,30,6.695
1996,35,7.646
1997,51,11.193
1998,57,12.042
1999,57,11.563
2000,80,15.045
2001,74,13.551
2002,120,21.262
2003,135,22.75
2004,167,26.16
2005,259,37.045
2006,332,44.475
2007,451,57.464
2008,603,72.191
2009,806,92.048
2010,1168,124.209
2011,1790,175.847
2012,2636,242.819
2013,3788,330.475
2014,5360,446.077
2015,6866,547.978
2016,8267,656.896
