sample,patient,day,expected_count,TPM,FPKM
P10J0,P10,0,39620.34,40260.79,21.62
P10J7,P10,7,7022.08,409.05,0.75
P11J0,P11,0,167196.01,58139.43,22.65
P11J7,P11,7,7692.97,1159.21,0.75
P12J0,P12,0,12727.19,1756.99,1.91
P12J7,P12,7,24464.6,1169.56,2.49
P13J0,P13,0,7244.72,518.07,0.53
P13J7,P13,7,43961.53,595.01,3.79
P14J0,P14,0,282.55,18.56,0.03
P14J7,P14,7,73.37,6.12,0.01
P15J0,P15,0,37827.51,3456.42,1.29
P15J7,P15,7,172254.28,27077.82,8.31
P17J0,P17,0,115262.85,13538.94,6.8
P17J7,P17,7,110970.8,6993.35,7.27
P18J0,P18,0,66292.83,11079.57,7.79
P18J7,P18,7,109635.73,2318.17,4.37
P19J0,P19,0,76001.78,15791.88,15.29
P19J7,P19,7,21619.9,731.29,0.75
P1J0,P1,0,3395.05,1015.03,0.34
P1J7,P1,7,12455.12,3461.31,2.49
P20J0,P20,0,64.01,10.01,0.01
P20J7,P20,7,3.41,0.25,0
P21J0,P21,0,108547.99,50707.96,21.28
P21J7,P21,7,237373.15,40659.5,23.98
P22J0,P22,0,28607.65,2162.53,0.64
P22J7,P22,7,31389.85,2008.35,1.03
P23J0,P23,0,83088.36,12256.09,8.75
P23J7,P23,7,96385.34,12521.22,8.06
P25J0,P25,0,110605.14,29391,10.86
P25J7,P25,7,60156.69,6477.6,2.67
P2J0,P2,0,11628.57,2572.64,1.08
P2J7,P2,7,10218.95,1770.55,1.19
P38J0,P38,0,52688.75,15222.8,13.18
P38J7,P38,7,57464.36,14348.74,10.82
P3J0,P3,0,55315.02,29669.74,20.61
P3J7,P3,7,179370.69,50260.68,40.03
P4J0,P4,0,21655.95,10103.67,4.25
P4J7,P4,7,4524.83,256.91,0.28
P5J0,P5,0,98272.12,70350.55,27.8
P5J7,P5,7,168073.12,72749.98,21.84
P6J0,P6,0,15337.7,5334.04,2.69
P6J7,P6,7,25379.22,6387.11,3.06
P7J0,P7,0,65329.99,16963.61,12.3
P7J7,P7,7,573352.21,460475.83,174.76
P8J0,P8,0,25209.66,18639.36,10.09
P8J7,P8,7,102627.91,12561.56,7.45
P9J0,P9,0,10433.26,542.45,1.02
P9J7,P9,7,3012.24,762.83,0.42
