sample,patient,day,expected_count,TPM,FPKM
P10J0,P10,0,66345.44,22903.41,24.87
P10J7,P10,7,9678.79,385.43,0.92
P11J0,P11,0,52125.96,2453.64,3.41
P11J7,P11,7,20561.89,548.34,1.42
P12J0,P12,0,79181.26,10599.83,9.12
P12J7,P12,7,30204.53,766.29,1.89
P13J0,P13,0,11371.78,781.79,0.94
P13J7,P13,7,30511.06,912.36,3.32
P14J0,P14,0,17.93,1.53,0
P14J7,P14,7,222.04,17.38,0.02
P15J0,P15,0,64806.57,5611.24,2.07
P15J7,P15,7,114347,12037.88,3.64
P17J0,P17,0,62419.77,7078.55,4.12
P17J7,P17,7,18666.9,111.58,0.74
P18J0,P18,0,29625.41,4128.79,3.54
P18J7,P18,7,1341.75,9.63,0.03
P19J0,P19,0,330.58,7.98,0.01
P19J7,P19,7,12137.76,88.09,0.41
P1J0,P1,0,943.81,101.38,0.11
P1J7,P1,7,7287.28,496.33,0.34
P20J0,P20,0,40.27,4.91,0
P20J7,P20,7,2,0.04,0
P21J0,P21,0,861706.77,39815.92,27.12
P21J7,P21,7,229029.94,4982.49,3.3
P22J0,P22,0,135476.51,16807.16,5.3
P22J7,P22,7,59545.48,2181.25,2.31
P23J0,P23,0,86582.92,6076.23,7.31
P23J7,P23,7,128822.03,7008.15,7.69
P25J0,P25,0,28971.42,337.91,1.28
P25J7,P25,7,40037.61,2692.52,2.12
P2J0,P2,0,38347.82,16272.83,15.21
P2J7,P2,7,2249.18,248.29,0.23
P38J0,P38,0,10.53,0.7,0
P38J7,P38,7,301.16,7.78,0.01
P3J0,P3,0,10.13,0.52,0
P3J7,P3,7,40011.63,2959.63,3.07
P4J0,P4,0,22862.65,629.09,1.15
P4J7,P4,7,9409.27,591.17,0.58
P5J0,P5,0,76493.76,18112.39,13.5
P5J7,P5,7,9716.31,3055.52,0.81
P6J0,P6,0,129.87,53.79,0.02
P6J7,P6,7,14304.92,1956.3,2.8
P7J0,P7,0,48184.42,10176.62,1.71
P7J7,P7,7,3,2.2,0
P8J0,P8,0,49645.71,16685.48,14.83
P8J7,P8,7,88605.66,23022.35,19.34
P9J0,P9,0,33149.47,2426.98,4.42
P9J7,P9,7,25236.28,2937.25,1.41
