sample,patient,day,expected_count,TPM,FPKM
P10J0,P10,0,22176.23,140.55,1.3
P10J7,P10,7,194842.57,2801.28,11.36
P11J0,P11,0,27129.83,978.47,1.97
P11J7,P11,7,27690.45,200.31,1.55
P12J0,P12,0,132387.47,7922.26,7.69
P12J7,P12,7,316118.51,26965.47,24.52
P13J0,P13,0,176423.65,14228.81,8.4
P13J7,P13,7,36798.84,4199.3,2.5
P14J0,P14,0,305.31,4.06,0.01
P14J7,P14,7,191.08,2.52,0.01
P15J0,P15,0,133952.87,3075.03,6.66
P15J7,P15,7,235779.9,3757.05,13.72
P17J0,P17,0,101665.4,7166.22,4.08
P17J7,P17,7,195963.18,8328.38,9.08
P18J0,P18,0,52763.8,854.64,2.12
P18J7,P18,7,410858.94,15499.34,14.61
P19J0,P19,0,5794.09,751.07,0.42
P19J7,P19,7,21820.34,1926.46,0.53
P1J0,P1,0,12033.68,885.83,0.6
P1J7,P1,7,42585.71,4496.84,2.85
P20J0,P20,0,41.45,3.88,0
P20J7,P20,7,103.07,10.75,0
P21J0,P21,0,53033.2,158.15,1.53
P21J7,P21,7,467931.75,1532.65,15.75
P22J0,P22,0,79896.38,5368.3,2.51
P22J7,P22,7,10311.33,317.6,0.26
P23J0,P23,0,48074.98,1152.62,1.06
P23J7,P23,7,177727.53,6159.45,5.27
P25J0,P25,0,551345.95,29746.63,20.56
P25J7,P25,7,373489.85,27695.72,19.92
P2J0,P2,0,9384.4,2766.3,2.1
P2J7,P2,7,29167.66,5419.2,5.37
P38J0,P38,0,46318.2,7020.33,4.15
P38J7,P38,7,93358.42,9841.93,5.41
P3J0,P3,0,106747.76,23796.61,12.14
P3J7,P3,7,511737.05,132241.17,51.52
P4J0,P4,0,258670.8,39243.6,28.71
P4J7,P4,7,163492.12,16823.52,12.19
P5J0,P5,0,60756.7,17933.69,6.67
P5J7,P5,7,76512.27,19064.42,7.46
P6J0,P6,0,92910.62,15232.84,11.2
P6J7,P6,7,73535.91,9014.69,6.93
P7J0,P7,0,41261.32,11022.82,4.42
P7J7,P7,7,13432.39,2262.73,1.07
P8J0,P8,0,215392.15,26727.77,13.02
P8J7,P8,7,124905.04,21887.12,10.86
P9J0,P9,0,9388.21,445.18,0.86
P9J7,P9,7,79161.67,4919.36,4.44
