sample,patient,day,expected_count,TPM,FPKM
P10J0,P10,0,13258.77,88.56,0.88
P10J7,P10,7,75357.13,1060.88,5.28
P11J0,P11,0,12867.96,69.05,0.66
P11J7,P11,7,26817.18,184.64,1.58
P12J0,P12,0,109046.45,6808.56,5.66
P12J7,P12,7,111400.01,4949.05,5.22
P13J0,P13,0,27743.61,1147.09,0.81
P13J7,P13,7,72563.77,4330.59,2.97
P14J0,P14,0,88.06,0.52,0
P14J7,P14,7,162.76,0.9,0
P15J0,P15,0,37968.24,116.85,0.77
P15J7,P15,7,76403.7,732.86,3.32
P17J0,P17,0,148913.5,8132.07,4.69
P17J7,P17,7,73303.89,428.46,1.75
P18J0,P18,0,27794.04,259,0.82
P18J7,P18,7,4036.63,321,0.1
P19J0,P19,0,978.17,60.76,0.04
P19J7,P19,7,125469.4,4664.14,5.29
P1J0,P1,0,4270.94,181.91,0.14
P1J7,P1,7,23711.97,1734.17,1.36
P20J0,P20,0,63.19,3.01,0
P20J7,P20,7,4.38,0.26,0
P21J0,P21,0,40437.8,84.87,0.96
P21J7,P21,7,285413.34,414.85,6.11
P22J0,P22,0,41907.6,1349.89,0.83
P22J7,P22,7,3679.75,49.42,0.07
P23J0,P23,0,25064.1,562.28,0.5
P23J7,P23,7,34257.03,548.24,0.63
P25J0,P25,0,381602.63,49024.08,34.57
P25J7,P25,7,19299.97,409.68,0.43
P2J0,P2,0,20597.66,993.16,1.14
P2J7,P2,7,17640.21,264.87,0.69
P38J0,P38,0,1655.07,81.54,0.07
P38J7,P38,7,8115.8,184.25,0.15
P3J0,P3,0,104100.54,7840.39,3.44
P3J7,P3,7,139372.7,10720.68,6.63
P4J0,P4,0,33820.16,388.23,1.7
P4J7,P4,7,129557.79,1536.03,5.31
P5J0,P5,0,17678.63,1764.45,1.13
P5J7,P5,7,28150.19,3316.91,1.88
P6J0,P6,0,1731.7,87.43,0.07
P6J7,P6,7,9605.31,630.8,0.44
P7J0,P7,0,30225.44,5484.77,2.42
P7J7,P7,7,2224.55,215.32,0.07
P8J0,P8,0,63990.84,5516.68,2.69
P8J7,P8,7,49359.06,3750.97,1.81
P9J0,P9,0,41068.34,1191,2.45
P9J7,P9,7,27845.31,901.77,1.21
